Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Business address,Number of patrons,x coordinate,y coordinate,Location
2009,47,108591,108591,114-120 Russell Street MELBOURNE 3000,Melbourne (CBD),6 Russell Street MELBOURNE 3000,150,144.9690,-37.8135,POINT (144.969 -37.8135)
2009,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),41 Bourke Street MELBOURNE 3000,100,144.9720,-37.8119,POINT (144.972 -37.8119)
2009,48,101113,101113,59-63 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Floor 2, 59-63 Bourke Street MELBOURNE 3000",150,144.9716,-37.8121,POINT (144.9716 -37.8121)
2009,48,103626,103626,114-122 Exhibition Street MELBOURNE 3000,Melbourne (CBD),114-122 Exhibition Street MELBOURNE 3000,550,144.9712,-37.8129,POINT (144.9712 -37.8129)
2009,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),62-66 Little Collins Street MELBOURNE 3000,285,144.9714,-37.8128,POINT (144.9714 -37.8128)
2009,48,503031,503031,19-23 Meyers Place MELBOURNE 3000,Melbourne (CBD),"Ground , 19-23 Meyers Place MELBOURNE 3000",152,144.9721,-37.8122,POINT (144.9721 -37.8122)
2009,52,592048,592048,188-202 King Street MELBOURNE 3000,Melbourne (CBD),192-200 King Street MELBOURNE 3000,450,144.9556,-37.8155,POINT (144.9556 -37.8155)
2009,53,110145,110145,170-176 William Street MELBOURNE 3000,Melbourne (CBD),170 William Street MELBOURNE 3000,50,144.9582,-37.8149,POINT (144.9582 -37.8149)
2009,54,104653,104653,21-25 Hardware Lane MELBOURNE 3000,Melbourne (CBD),21-25 Hardware Lane MELBOURNE 3000,326,144.9613,-37.8141,POINT (144.9613 -37.8141)
2009,54,105852,105852,401-405 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),"LwrGround , 405 Little Bourke Street MELBOURNE 3000",250,144.9610,-37.8140,POINT (144.961 -37.814)
2009,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),"Level 1, 15-19 Warburton Lane MELBOURNE 3000",50,144.9618,-37.8138,POINT (144.9618 -37.8138)
2009,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Part Level 3, 338-352 Bourke Street MELBOURNE 3000",400,144.9633,-37.8136,POINT (144.9633 -37.8136)
2009,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Level 1, 184-186 Bourke Street MELBOURNE 3000",204,144.9677,-37.8127,POINT (144.9677 -37.8127)
2009,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),"Floor 1, 163-165 Russell Street MELBOURNE 3000",350,144.9676,-37.8125,POINT (144.9676 -37.8125)
2009,57,101214,101214,146-150 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Level 1, 146 Bourke Street MELBOURNE 3000",100,144.9687,-37.8124,POINT (144.9687 -37.8124)
